,[W],[Ta],[Tr],[R],total_count,sequence_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
1833,6.0,10.0,12.0,8.0,36,random,0.0,4.0,4.0,2.0,4,5,0,1,2,1,0,4,5,2,[R][Tr][Tr][Tr][Tr][Tr][Ta][W][R][Ta][R][Ta][Ta][Ta][Ta][R][Tr][W][Ta][R][Ta][R][W][Tr][Tr][Tr][W][Tr][Ta][W][W][R][Ta][Tr][R][Tr]
1834,6.0,10.0,12.0,8.0,36,random,2.0,0.0,2.6666666666666665,2.0,4,4,1,0,3,1,2,0,4,2,[Ta][R][Tr][Ta][R][W][Ta][R][W][R][Ta][Tr][Tr][Ta][Tr][Tr][Tr][Tr][W][W][R][Ta][Tr][W][R][Ta][W][Tr][Ta][Tr][Ta][R][R][Ta][Tr][Tr]
1835,8.0,10.0,12.0,8.0,38,random,2.0,3.5,2.25,2.0,4,4,1,2,4,2,2,4,3,2,[Tr][Ta][R][Tr][W][R][R][W][W][R][Ta][W][W][R][Tr][Tr][W][Tr][R][Ta][W][Ta][Ta][Ta][W][Tr][Tr][Tr][R][Tr][Tr][Ta][Ta][Ta][Ta][R][Tr][Tr]
1836,8.0,10.0,12.0,8.0,38,random,2.5,2.0,3.5,3.0,4,4,2,1,2,1,3,2,4,3,[W][R][Tr][Tr][Tr][Tr][Ta][W][Ta][R][R][Ta][R][W][W][W][Tr][W][Tr][W][Ta][R][R][R][Ta][Tr][Ta][Tr][Ta][Ta][Tr][Ta][W][Ta][Tr][Tr][Tr][R]
1837,8.0,10.0,12.0,8.0,38,random,2.0,2.5,2.3333333333333335,2.0,4,3,1,2,3,2,2,3,3,2,[Ta][Tr][R][Ta][Tr][R][Ta][R][W][Ta][Tr][W][Tr][Tr][W][W][Ta][R][W][Ta][Ta][W][W][Tr][Tr][Ta][Ta][Ta][Tr][Tr][Tr][R][Tr][W][R][R][Tr][R]
1838,8.0,10.0,12.0,8.0,38,random,2.5,2.0,2.6666666666666665,2.0,4,3,2,1,3,2,3,2,3,2,[W][Ta][Tr][W][W][R][Tr][Tr][Tr][R][Ta][R][R][R][Tr][Tr][Tr][Ta][R][R][Ta][R][Tr][Tr][Ta][Tr][Ta][W][W][Ta][Ta][W][Ta][W][Tr][Ta][W][Tr]
1839,8.0,10.0,12.0,8.0,38,random,0.0,2.0,2.0,2.0,4,2,0,1,1,2,0,2,2,2,[R][Ta][R][W][Tr][W][Ta][Tr][Ta][Tr][Tr][R][W][W][Tr][Ta][Tr][Ta][Ta][R][Tr][R][W][Tr][Ta][Tr][W][W][R][W][R][Tr][R][Ta][Tr][Ta][Tr][Ta]
1840,10.0,10.0,12.0,8.0,40,random,3.0,2.0,2.0,2.0,4,3,1,3,4,2,3,2,2,2,[Tr][R][W][R][Tr][Ta][Ta][W][W][R][R][R][Ta][Tr][Tr][W][R][W][Ta][Tr][Tr][Ta][Ta][W][W][Tr][Tr][W][Ta][Tr][R][Tr][Ta][R][W][Ta][Ta][W][Tr][Tr]
1841,10.0,10.0,12.0,8.0,40,random,3.0,2.5,2.0,3.0,4,3,1,2,4,1,3,3,2,3,[R][Tr][W][Tr][Tr][W][Ta][W][Tr][R][W][Ta][R][Ta][Ta][Ta][Tr][Tr][Ta][W][Ta][Tr][Ta][Ta][Tr][W][R][W][W][W][R][R][R][Tr][Tr][R][W][Tr][Tr][Ta]
1842,10.0,10.0,12.0,8.0,40,random,2.0,3.5,2.3333333333333335,0.0,4,5,2,2,3,0,2,5,3,0,[W][Tr][Tr][Ta][Ta][Ta][Ta][Ta][Tr][W][Tr][W][Tr][W][R][Ta][W][Ta][Ta][W][Tr][Tr][R][W][Tr][R][W][Ta][R][R][Tr][W][R][R][Tr][Tr][Tr][R][W][Ta]
1843,10.0,10.0,12.0,8.0,40,random,2.0,2.0,2.3333333333333335,2.5,4,3,1,2,3,2,2,2,3,3,[Ta][W][R][Tr][Tr][Ta][Tr][R][Ta][W][W][W][Ta][Ta][R][Tr][Tr][Tr][W][Ta][Tr][W][Tr][Tr][W][R][Ta][Ta][W][W][R][Tr][Ta][Tr][R][Ta][Tr][W][R][R]
1844,10.0,10.0,12.0,8.0,40,random,3.0,2.0,2.3333333333333335,2.0,4,3,1,2,3,1,3,2,3,2,[Ta][Tr][W][R][Ta][Ta][Tr][Tr][Tr][R][R][R][Ta][R][Ta][Tr][R][Tr][Tr][W][Ta][W][Ta][W][Tr][W][Tr][Ta][Ta][W][W][Ta][W][Tr][Tr][R][W][Tr][W][R]
1845,12.0,10.0,12.0,8.0,42,random,2.0,2.5,2.0,2.0,4,3,1,2,3,3,2,3,2,2,[R][Ta][R][R][Tr][W][Ta][Ta][Tr][W][R][Tr][Tr][Ta][W][W][Tr][Tr][W][Ta][Ta][Ta][W][R][Tr][Ta][R][W][Tr][W][W][R][Tr][Tr][Ta][W][W][Tr][Ta][Tr][R][W]
1846,12.0,10.0,12.0,8.0,42,random,2.0,2.0,2.0,2.3333333333333335,4,3,2,3,4,3,2,2,2,3,[Ta][Ta][W][Tr][R][Tr][Tr][Ta][W][R][R][Ta][Tr][Ta][W][W][Tr][Tr][Ta][Ta][R][Tr][W][W][W][Tr][Tr][W][Tr][Tr][W][R][R][W][Ta][Ta][Tr][W][W][R][Ta][R]
1847,12.0,10.0,12.0,8.0,42,random,2.5,2.0,2.25,2.25,4,3,2,1,4,4,3,2,3,3,[Ta][W][W][W][Ta][R][R][Ta][Tr][Tr][R][R][R][W][W][Tr][W][Ta][R][Tr][R][W][W][R][Ta][W][Ta][Tr][Tr][Tr][W][Ta][Tr][Tr][Ta][Ta][W][W][Tr][Ta][Tr][Tr]
1848,12.0,10.0,12.0,8.0,42,random,2.0,4.0,3.0,2.5,4,4,2,1,1,2,2,4,3,3,[W][R][R][W][W][W][Ta][Ta][Ta][Ta][Tr][W][Tr][W][Tr][Ta][Tr][R][Ta][Tr][Ta][Tr][R][Tr][Tr][Tr][Ta][Tr][R][W][W][R][W][R][R][W][Tr][Ta][W][Ta][Tr][W]
1849,12.0,10.0,12.0,8.0,42,random,0.0,2.3333333333333335,2.0,2.0,4,3,0,3,1,3,0,3,2,2,[Ta][Tr][Ta][W][W][Ta][Ta][W][R][Tr][R][Tr][Tr][W][Ta][Ta][Tr][W][Tr][W][Tr][R][W][R][W][Tr][W][W][Tr][Ta][R][Ta][Ta][Ta][Tr][R][Tr][R][W][W][Tr][R]
1850,4.0,12.0,12.0,8.0,36,random,3.0,2.5,2.0,0.0,4,3,1,2,4,0,3,3,2,0,[Ta][R][R][R][Ta][Ta][Ta][W][Tr][Tr][R][Tr][R][Ta][R][Tr][Tr][W][Ta][Ta][Tr][R][Ta][W][R][Ta][Tr][Tr][Ta][Tr][Ta][W][Tr][Tr][Ta][Tr]
1851,4.0,12.0,12.0,8.0,36,random,0.0,2.0,2.0,0.0,4,2,0,3,2,0,0,2,2,0,[Tr][Ta][Tr][R][Ta][R][Tr][R][W][Tr][Tr][Ta][W][Ta][Tr][Ta][Ta][W][R][Ta][Tr][Ta][Ta][Tr][R][Ta][Tr][R][W][Tr][R][Tr][Tr][Ta][Ta][R]
1852,4.0,12.0,12.0,8.0,36,random,2.0,2.25,2.0,0.0,4,3,2,4,2,0,2,3,2,0,[Ta][Ta][Tr][Ta][Ta][Tr][R][Ta][R][R][W][Tr][R][R][Tr][Ta][R][Tr][R][W][Tr][Ta][Ta][Ta][Tr][Tr][Ta][W][Tr][R][W][Tr][Tr][Ta][Ta][Tr]
1853,4.0,12.0,12.0,8.0,36,random,2.5,2.0,2.0,0.0,4,3,2,2,3,0,3,2,2,0,[Ta][Tr][W][Ta][R][R][Ta][R][Tr][Tr][Ta][Ta][Tr][Tr][W][Tr][Tr][Ta][Tr][Ta][R][Tr][Ta][Ta][Tr][Ta][R][R][R][Ta][R][W][Tr][Ta][W][Tr]
1854,4.0,12.0,12.0,8.0,36,random,2.0,2.6666666666666665,2.0,0.0,4,3,1,3,3,0,2,3,2,0,[R][Tr][Tr][Ta][R][Tr][W][Tr][Tr][W][R][R][Tr][Tr][R][Ta][Tr][Ta][Tr][R][Tr][Ta][W][Tr][Ta][Ta][R][Ta][Ta][Ta][W][Ta][Ta][Ta][Tr][R]
1855,6.0,12.0,12.0,8.0,38,random,3.0,4.0,2.5,2.0,4,5,2,2,4,1,4,5,4,2,[Tr][Ta][W][Ta][Tr][Tr][Ta][Ta][Ta][Ta][Ta][W][Tr][W][Ta][W][R][Ta][Tr][Tr][R][R][R][R][Ta][Ta][Ta][Tr][Tr][Tr][Tr][W][W][R][Tr][Tr][R][R]
1856,6.0,12.0,12.0,8.0,38,random,2.5,2.5,2.6666666666666665,2.0,4,4,2,4,3,1,3,4,3,2,[W][W][Tr][Tr][Ta][Ta][Tr][R][Tr][Tr][Tr][Ta][W][Ta][Ta][Tr][Ta][Ta][R][Ta][W][Tr][R][R][R][W][Ta][Ta][Ta][Ta][R][Tr][R][R][W][Tr][Tr][Tr]
1857,6.0,12.0,12.0,8.0,38,random,2.0,2.25,2.0,0.0,4,3,1,4,1,0,2,3,2,0,[Tr][R][Tr][Ta][Tr][Tr][R][Tr][R][R][W][R][Ta][Ta][Ta][Tr][Ta][W][R][Tr][Ta][Ta][W][Tr][R][Ta][Tr][W][R][W][Tr][Ta][Ta][Tr][Ta][Ta][Tr][W]
1858,6.0,12.0,12.0,8.0,38,random,2.0,2.0,2.5,2.0,4,3,2,3,2,1,2,2,3,2,[W][R][Ta][Tr][Ta][Ta][Tr][Tr][R][W][W][Tr][R][Ta][R][R][Ta][Tr][Ta][Ta][Tr][Ta][Tr][R][Tr][Tr][Tr][W][Ta][W][Ta][Tr][R][R][Tr][W][Ta][Ta]
1859,6.0,12.0,12.0,8.0,38,random,2.0,2.0,2.6666666666666665,2.0,4,3,1,2,3,2,2,2,3,2,[Ta][W][W][Ta][Tr][Tr][Ta][R][R][Ta][R][Tr][R][Tr][Tr][Tr][Ta][Tr][Ta][R][Ta][Ta][W][Tr][Ta][W][W][Tr][Tr][Tr][R][Ta][W][R][Ta][Ta][Tr][R]
1860,8.0,12.0,12.0,8.0,40,random,2.0,2.5,2.5,3.0,4,4,3,2,4,2,2,3,3,4,[Ta][W][W][Ta][R][Ta][Ta][Ta][Tr][Tr][Tr][Ta][Ta][Tr][Ta][W][Tr][Ta][R][R][W][Ta][Tr][Tr][R][R][Ta][W][W][W][W][Tr][Tr][R][R][Ta][R][Tr][Tr][Tr]
1861,8.0,12.0,12.0,8.0,40,random,3.0,2.6666666666666665,2.3333333333333335,2.0,4,3,1,3,3,1,3,3,3,2,[Ta][R][Ta][W][R][Tr][W][R][W][W][Ta][Tr][Ta][Ta][Ta][R][Tr][W][Tr][W][Tr][Tr][Ta][Ta][Ta][Tr][Tr][Tr][W][Tr][Tr][R][W][Ta][R][R][R][Ta][Ta][Tr]
1862,8.0,12.0,12.0,8.0,40,random,3.0,2.0,2.0,0.0,4,3,1,2,1,0,3,2,2,0,[Tr][W][R][Tr][W][R][R][R][Tr][R][W][Tr][Ta][Ta][R][Tr][Ta][Tr][W][Ta][Tr][Ta][W][Ta][W][Ta][Ta][Tr][Ta][Tr][Ta][W][R][Ta][Tr][Tr][W][Tr][Ta][R]
1863,8.0,12.0,12.0,8.0,40,random,2.0,3.0,2.25,2.0,4,4,2,2,4,2,2,4,3,2,[Ta][Tr][Tr][Ta][Ta][R][W][Ta][R][Tr][Ta][Ta][Ta][Ta][Tr][R][R][Tr][Tr][R][R][W][W][Ta][W][Tr][W][Tr][Tr][Tr][W][Ta][W][W][Ta][R][Ta][R][Tr][Tr]
1864,8.0,12.0,12.0,8.0,40,random,2.0,3.0,2.0,2.0,4,3,1,2,2,1,2,3,2,2,[Ta][W][Tr][Tr][R][W][R][Tr][W][Tr][R][Ta][Tr][Ta][Ta][Ta][R][W][Tr][Ta][Tr][Tr][W][Tr][W][Tr][Ta][Ta][Ta][R][R][Ta][Tr][Ta][R][W][W][Ta][R][Tr]
1865,10.0,12.0,12.0,8.0,42,random,3.0,2.6666666666666665,2.3333333333333335,2.5,4,3,1,3,3,2,3,3,3,3,[W][Ta][Ta][Ta][Tr][W][W][W][Ta][Ta][Ta][R][Ta][Ta][Tr][Tr][R][Tr][R][Ta][Tr][Ta][Tr][Tr][W][Tr][Ta][W][W][R][Ta][Tr][Tr][Tr][W][R][W][R][R][R][W][Tr]
1866,10.0,12.0,12.0,8.0,42,random,2.0,2.6666666666666665,2.3333333333333335,2.0,4,3,1,3,3,2,2,3,3,2,[Ta][W][R][W][R][W][W][Tr][Ta][Ta][Ta][R][Tr][Ta][Ta][W][Tr][Tr][Ta][Ta][Ta][Tr][W][W][R][Tr][Tr][Ta][Tr][Ta][R][W][Tr][R][Ta][W][Tr][Tr][Tr][W][R][R]
1867,10.0,12.0,12.0,8.0,42,random,2.0,4.0,2.0,4.0,4,4,1,1,3,1,2,4,2,4,[Ta][Tr][W][Ta][Tr][W][Ta][Tr][Ta][R][Ta][R][R][W][R][Tr][W][Tr][W][Tr][Tr][R][Tr][Tr][R][Ta][W][W][W][W][Tr][Tr][Ta][Ta][Ta][Ta][Tr][R][Ta][W][Ta][R]
1868,10.0,12.0,12.0,8.0,42,random,2.0,2.0,2.0,2.0,4,2,1,2,1,1,2,2,2,2,[Ta][Tr][Tr][Ta][R][R][Tr][Ta][R][Ta][Tr][W][Ta][Tr][Ta][Tr][W][W][Ta][Ta][R][W][Tr][W][Ta][Tr][R][Tr][Ta][Ta][W][Tr][W][R][W][R][Tr][W][Ta][Tr][W][R]
1869,10.0,12.0,12.0,8.0,42,random,2.0,2.0,2.3333333333333335,2.0,4,3,1,2,3,1,2,2,3,2,[Tr][R][Tr][Tr][Tr][Ta][Tr][Ta][W][Tr][W][R][Ta][Ta][R][R][Tr][W][Ta][R][W][W][Tr][Tr][W][Ta][R][Ta][W][Ta][Tr][Tr][W][Tr][W][Ta][Ta][R][Ta][R][W][Ta]
1870,12.0,12.0,12.0,8.0,44,random,2.0,3.0,3.0,3.0,4,5,2,2,2,3,2,4,4,5,[Ta][R][W][W][Tr][R][W][R][Tr][R][R][Ta][Tr][Ta][Ta][Ta][Ta][R][W][W][W][W][W][Ta][W][Tr][Ta][R][R][Tr][Ta][Tr][Ta][Tr][Tr][W][W][Tr][Tr][Tr][Tr][W][Ta][Ta]
1871,12.0,12.0,12.0,8.0,44,random,2.0,2.0,0.0,2.0,4,2,1,2,0,1,2,2,0,2,[W][Tr][W][Ta][W][Tr][W][Ta][R][Tr][R][Tr][W][Tr][R][Tr][Ta][Ta][W][Tr][W][Tr][W][W][Ta][R][Ta][R][Ta][W][Ta][Tr][Ta][R][Tr][W][Tr][R][R][W][Ta][Tr][Ta][Ta]
1872,12.0,12.0,12.0,8.0,44,random,2.0,2.0,2.3333333333333335,2.0,4,3,1,2,3,3,2,2,3,2,[Ta][R][Tr][R][W][Ta][Tr][Tr][Tr][R][R][W][R][Tr][Tr][W][W][Ta][W][W][R][Tr][Ta][W][Tr][Ta][Tr][W][W][Ta][Tr][Ta][Ta][R][W][Ta][Tr][Tr][W][Ta][W][R][Ta][Ta]
1873,12.0,12.0,12.0,8.0,44,random,2.0,4.0,2.0,2.0,4,4,2,1,2,3,2,4,2,2,[Tr][W][Tr][W][Ta][Tr][W][Tr][Ta][Ta][Ta][Ta][Tr][Tr][R][R][Ta][Tr][Ta][W][Ta][Tr][Ta][R][W][W][Tr][R][W][Ta][W][Tr][Tr][R][R][Ta][R][Tr][W][W][Ta][R][W][W]
1874,12.0,12.0,12.0,8.0,44,random,0.0,2.0,2.0,3.0,4,3,0,3,1,1,0,2,2,3,[W][Ta][Ta][Tr][R][Tr][Ta][Tr][W][Tr][R][Ta][Ta][Tr][R][Ta][W][Ta][Tr][R][W][W][W][Tr][Tr][W][Ta][Ta][W][Ta][Tr][W][Ta][W][R][W][R][Tr][Ta][Tr][W][R][Tr][R]
1875,4.0,4.0,4.0,10.0,22,random,2.25,0.0,0.0,2.0,4,3,4,0,0,1,3,0,0,2,[Tr][R][R][Ta][W][R][R][R][Tr][W][Tr][R][R][Ta][R][Tr][Ta][R][R][W][W][Ta]
1876,4.0,4.0,4.0,10.0,22,random,3.5,3.0,0.0,0.0,4,4,2,1,0,0,4,3,0,0,[Tr][Ta][Ta][Ta][Tr][R][W][R][W][R][R][R][W][Tr][Ta][Tr][R][W][R][R][R][R]
1877,4.0,4.0,4.0,10.0,22,random,3.5,2.0,3.0,0.0,4,4,2,1,1,0,4,2,3,0,[W][R][Tr][W][R][R][R][Ta][Ta][R][Ta][R][W][R][R][R][R][Ta][W][Tr][Tr][Tr]
1878,4.0,4.0,4.0,10.0,22,random,2.5,0.0,0.0,2.0,4,3,2,0,0,1,3,0,0,2,[R][W][Ta][R][R][Ta][Tr][W][Ta][R][W][W][Tr][R][Ta][R][R][R][Tr][R][Tr][R]
1879,4.0,4.0,4.0,10.0,22,random,3.0,2.0,0.0,0.0,4,3,2,1,0,0,3,2,0,0,[W][R][W][Tr][R][R][R][Ta][R][R][R][Tr][W][Ta][Ta][R][Ta][Tr][W][R][Tr][R]
1880,6.0,4.0,4.0,10.0,24,random,2.25,0.0,0.0,2.0,4,3,4,0,0,1,3,0,0,2,[R][R][R][Tr][W][R][R][Ta][R][R][Ta][R][W][Ta][W][W][Tr][W][Tr][W][Ta][Tr][R][R]
1881,6.0,4.0,4.0,10.0,24,random,3.5,2.0,0.0,3.0,4,5,2,1,0,1,5,2,0,3,[R][W][Ta][W][Tr][R][W][Tr][W][W][W][Ta][Ta][R][Tr][R][R][R][R][R][Tr][Ta][R][R]
1882,6.0,4.0,4.0,10.0,24,random,2.5,0.0,2.0,2.0,4,3,2,0,1,1,3,0,2,2,[R][Ta][R][Tr][R][W][Ta][R][R][Ta][Tr][W][W][R][W][R][W][Ta][W][Tr][Tr][R][R][R]
1883,6.0,4.0,4.0,10.0,24,random,4.0,0.0,0.0,0.0,4,4,1,0,0,0,4,0,0,0,[W][Ta][R][R][R][R][Ta][Tr][R][Tr][R][W][Ta][R][W][Tr][R][W][Ta][W][R][W][R][Tr]
1884,6.0,4.0,4.0,10.0,24,random,2.5,2.0,0.0,2.0,4,3,2,1,0,2,3,2,0,2,[W][W][Ta][Ta][Tr][R][W][Ta][Tr][R][Ta][R][R][Tr][R][W][W][R][Tr][R][W][R][R][R]
1885,8.0,4.0,4.0,10.0,26,random,2.0,0.0,0.0,2.0,4,2,3,0,0,1,2,0,0,2,[Tr][R][R][W][R][W][R][Ta][W][R][R][Tr][W][Tr][W][Ta][W][W][R][W][Tr][Ta][R][R][Ta][R]
1886,8.0,4.0,4.0,10.0,26,random,2.3333333333333335,2.0,2.0,3.0,4,3,3,1,1,1,3,2,2,3,[Ta][W][Tr][R][W][R][R][Tr][Tr][W][W][W][R][R][Tr][W][R][W][R][W][Ta][Ta][R][R][R][Ta]
1887,8.0,4.0,4.0,10.0,26,random,2.5,2.0,0.0,2.5,4,3,2,1,0,2,3,2,0,3,[R][W][R][R][R][Tr][W][W][R][R][Tr][Ta][Ta][W][R][Ta][R][Tr][R][Tr][W][W][W][Ta][W][R]
1888,8.0,4.0,4.0,10.0,26,random,2.0,0.0,0.0,3.0,4,4,2,0,0,2,2,0,0,4,[Ta][R][R][Tr][R][Tr][W][W][R][W][R][Ta][R][R][Ta][W][W][W][W][R][Ta][Tr][R][W][Tr][R]
1889,8.0,4.0,4.0,10.0,26,random,2.5,0.0,0.0,2.0,4,3,2,0,0,1,3,0,0,2,[Tr][R][Ta][R][W][R][R][Ta][W][Tr][W][Tr][R][W][Ta][R][Ta][W][R][Tr][W][R][R][R][W][W]
1890,10.0,4.0,4.0,10.0,28,random,3.0,2.0,0.0,2.3333333333333335,4,4,2,1,0,3,4,2,0,3,[R][W][W][R][Tr][W][W][W][Ta][R][R][R][R][Tr][W][R][Tr][W][Ta][Ta][R][W][R][R][W][W][Ta][Tr]
1891,10.0,4.0,4.0,10.0,28,random,3.0,0.0,2.0,2.5,4,3,1,0,1,2,3,0,2,3,[R][W][R][W][Ta][R][W][W][W][Ta][W][Ta][R][R][R][Tr][R][W][W][R][W][Tr][Ta][Tr][Tr][R][W][R]
1892,10.0,4.0,4.0,10.0,28,random,3.0,0.0,2.0,2.0,4,3,1,0,1,2,3,0,2,2,[W][R][W][R][R][R][Ta][R][W][W][R][Tr][W][W][Tr][Ta][R][Ta][W][Ta][R][W][R][W][R][Tr][Tr][W]
1893,10.0,4.0,4.0,10.0,28,random,2.5,0.0,0.0,2.0,4,3,2,0,0,2,3,0,0,2,[Tr][Ta][W][W][R][W][R][R][W][W][R][R][R][W][R][Tr][W][R][W][Tr][Ta][W][R][W][Tr][Ta][R][Ta]
1894,10.0,4.0,4.0,10.0,28,random,2.0,2.0,0.0,2.0,4,2,2,1,0,3,2,2,0,2,[W][W][R][Ta][R][W][R][Ta][R][R][W][W][R][Tr][W][Tr][R][R][Tr][Ta][Ta][W][W][R][W][R][Tr][W]
1895,12.0,4.0,4.0,10.0,30,random,2.25,2.0,2.0,2.3333333333333335,4,3,4,1,1,3,3,2,2,3,[Ta][W][Ta][W][Tr][W][W][Tr][Tr][W][W][W][Tr][Ta][Ta][R][R][W][R][R][W][R][R][W][W][R][R][R][W][R]
1896,12.0,4.0,4.0,10.0,30,random,2.25,2.0,0.0,3.0,4,4,4,1,0,3,3,2,0,4,[Tr][W][Tr][R][R][W][W][W][W][R][W][W][R][R][R][Tr][Ta][Ta][W][Ta][Tr][W][W][W][R][R][Ta][R][R][W]
1897,12.0,4.0,4.0,10.0,30,random,3.0,0.0,0.0,2.6666666666666665,4,4,2,0,0,3,3,0,0,4,[W][R][W][R][R][R][Ta][R][Tr][W][W][R][Ta][R][Tr][W][W][W][W][Tr][W][Ta][W][W][R][R][R][Ta][Tr][W]
1898,12.0,4.0,4.0,10.0,30,random,2.0,0.0,0.0,2.0,4,2,2,0,0,4,2,0,0,2,[Tr][Ta][W][W][R][W][W][R][W][W][R][W][R][R][Ta][Tr][W][W][Ta][R][W][Tr][W][R][W][R][R][Ta][Tr][R]
1899,12.0,4.0,4.0,10.0,30,random,2.0,0.0,0.0,4.0,4,4,2,0,0,2,2,0,0,4,[Ta][R][Tr][Ta][R][W][R][Ta][W][W][W][W][Tr][R][Tr][W][W][W][W][R][W][R][R][Tr][W][R][Ta][R][R][W]
1900,4.0,6.0,4.0,10.0,24,random,2.0,0.0,2.0,2.0,4,2,3,0,1,1,2,0,2,2,[Ta][Tr][Tr][R][R][Ta][W][Ta][R][R][Tr][R][Ta][R][W][W][R][Ta][R][R][Ta][R][W][Tr]
1901,4.0,6.0,4.0,10.0,24,random,2.3333333333333335,2.0,0.0,0.0,4,3,3,2,0,0,3,2,0,0,[R][Tr][Ta][Ta][R][R][Tr][R][R][R][W][Tr][R][R][W][Tr][W][Ta][Ta][R][Ta][W][R][Ta]
1902,4.0,6.0,4.0,10.0,24,random,2.3333333333333335,2.0,2.0,0.0,4,3,3,1,1,0,3,2,2,0,[R][R][W][Ta][Tr][Tr][W][R][Ta][Tr][R][R][R][W][R][Ta][W][Tr][R][Ta][Ta][R][R][Ta]
1903,4.0,6.0,4.0,10.0,24,random,2.6666666666666665,2.0,2.0,0.0,4,4,3,2,1,0,4,2,2,0,[Tr][Ta][R][R][Ta][W][Ta][Ta][R][R][R][R][W][Ta][Ta][R][W][R][Tr][R][R][W][Tr][Tr]
1904,4.0,6.0,4.0,10.0,24,random,2.3333333333333335,2.0,2.0,2.0,4,3,3,1,1,1,3,2,2,2,[R][R][R][Tr][Tr][R][R][W][Ta][R][W][W][Ta][R][R][Ta][R][Ta][Tr][Ta][Ta][Tr][R][W]
1905,6.0,6.0,4.0,10.0,26,random,2.5,0.0,2.0,2.0,4,3,2,0,1,1,3,0,2,2,[W][Tr][R][W][Ta][Tr][R][R][R][Tr][Tr][Ta][W][R][Ta][W][R][W][W][Ta][R][Ta][R][Ta][R][R]
1906,6.0,6.0,4.0,10.0,26,random,3.5,3.0,0.0,2.0,4,4,2,1,0,1,4,3,0,2,[Ta][W][W][R][R][R][R][W][Tr][R][Ta][Ta][Ta][R][W][Tr][Ta][W][R][Tr][W][Tr][Ta][R][R][R]
1907,6.0,6.0,4.0,10.0,26,random,2.0,2.0,2.0,0.0,4,2,2,1,1,0,2,2,2,0,[Ta][R][Ta][Ta][W][R][W][R][W][R][R][W][R][Ta][R][R][Ta][W][R][Tr][Ta][Tr][R][Tr][Tr][W]
1908,6.0,6.0,4.0,10.0,26,random,2.5,2.0,2.0,0.0,4,3,2,2,1,0,3,2,2,0,[W][R][Ta][Ta][R][W][Tr][W][Ta][W][Tr][Tr][R][W][R][R][Ta][Ta][R][R][R][Ta][R][Tr][W][R]
1909,6.0,6.0,4.0,10.0,26,random,2.0,0.0,0.0,2.0,4,2,2,0,0,1,2,0,0,2,[R][Ta][W][R][Ta][Tr][R][W][Ta][R][Tr][R][Ta][Tr][W][Ta][W][W][R][R][Tr][R][R][W][R][Ta]
1910,8.0,6.0,4.0,10.0,28,random,2.0,2.0,2.0,3.0,4,3,4,3,1,1,2,2,2,3,[R][R][Tr][Tr][W][R][Tr][W][Ta][Ta][W][W][W][Ta][Ta][R][W][R][R][Tr][R][R][Ta][Ta][W][R][R][W]
1911,8.0,6.0,4.0,10.0,28,random,2.5,2.0,0.0,2.0,4,3,2,1,0,2,3,2,0,2,[R][Ta][Tr][Ta][W][R][W][Tr][R][W][Tr][W][W][Ta][R][Tr][Ta][Ta][R][W][W][R][R][W][R][R][R][Ta]
1912,8.0,6.0,4.0,10.0,28,random,2.3333333333333335,2.5,0.0,2.0,4,3,3,2,0,1,3,3,0,2,[Ta][Ta][Ta][W][Tr][W][Ta][Ta][Tr][R][R][W][R][R][W][R][R][R][W][R][W][R][Tr][Ta][Tr][W][W][R]
1913,8.0,6.0,4.0,10.0,28,random,5.0,2.0,0.0,2.0,4,5,1,2,0,3,5,2,0,2,[Ta][R][W][R][W][W][R][R][R][R][R][W][W][Ta][Ta][Tr][Ta][Tr][W][R][Tr][Ta][Ta][Tr][R][W][W][R]
1914,8.0,6.0,4.0,10.0,28,random,3.0,2.0,2.0,3.0,4,4,2,2,1,1,4,2,2,3,[Ta][Ta][R][R][Ta][W][R][Tr][Tr][R][W][W][W][Ta][Ta][W][Ta][Tr][W][R][W][R][Tr][R][R][R][R][W]
1915,10.0,6.0,4.0,10.0,30,random,2.5,0.0,2.0,3.5,4,5,2,0,1,2,3,0,2,5,[Ta][R][Ta][R][R][R][Tr][Ta][W][R][R][Tr][Tr][W][W][W][W][W][Ta][W][W][Tr][R][Ta][R][W][R][W][Ta][R]
1916,10.0,6.0,4.0,10.0,30,random,2.0,0.0,0.0,3.0,4,3,4,0,0,1,2,0,0,3,[Tr][Ta][W][Tr][W][R][Ta][W][Ta][W][R][R][Tr][W][R][Ta][W][R][R][Tr][R][R][W][Ta][W][W][W][Ta][R][R]
1917,10.0,6.0,4.0,10.0,30,random,2.0,2.0,2.0,3.0,4,3,2,1,1,1,2,2,2,3,[Ta][Ta][R][W][W][W][R][Tr][Ta][W][R][W][R][W][R][W][Tr][R][R][Ta][W][R][R][Ta][W][R][W][Ta][Tr][Tr]
1918,10.0,6.0,4.0,10.0,30,random,2.0,0.0,0.0,2.3333333333333335,4,3,3,0,0,3,2,0,0,3,[Ta][W][R][Tr][Ta][R][W][R][R][Ta][R][R][Tr][W][W][Ta][R][R][Tr][Ta][W][W][W][R][W][W][Tr][R][Ta][W]
